═══ GHEG (KOSOVO-ALBANISCH) LERNSÄTZE ═══
  1012 Sätze in 9 Schwierigkeitsstufen
  Format: L# | ### | Gheg (Kosovo) | Deutsch
L6 | 035 | Treni që shkon për n'Shkup niset n'ora tetë. | Der Zug, der nach Skopje fährt, startet um acht Uhr.
L6 | 036 | Mund të më tregosh kah asht banka më e afërt? | Kannst du mir zeigen, wo die nächste Bank ist?
L6 | 037 | Kam shpenzue shumë para për teknologji këtë muaj. | Ich habe diesen Monat viel Geld für Technologie ausgegeben.
L6 | 038 | Këpucët që kam blejtë janë shumë komode. | Die Schuhe, die ich gekauft habe, sind sehr bequem.
L6 | 039 | A ka nji stacion autobusi afër këtu? | Gibt es eine Bushaltestelle in der Nähe?
L6 | 040 | Sa larg asht aeroporti prej qendrës? | Wie weit ist der Flughafen vom Zentrum entfernt?
L6 | 041 | Porosia që kam ba online do të vij sonte. | Die Bestellung, die ich online gemacht habe, wird heute Abend kommen.
L6 | 042 | A pranon kjo shitore kartela krediti? | Akzeptiert dieser Laden Kreditkarten?
L6 | 043 | Unë kam shumë aplikacione në telefon që përdori çdo ditë. | Ich habe viele Apps auf dem Telefon, die ich jeden Tag benutze.
L6 | 044 | Kthehu djathtas në udhëkryq, pastaj vazhdo drejt. | Bieg an der Kreuzung rechts ab, dann fahr geradeaus.
L6 | 045 | Sa kushton nji biletë autobusi për në qytet? | Wie viel kostet ein Busticket in die Stadt?
L6 | 046 | Restoranti që rekomandon ti asht shumë i mirë. | Das Restaurant, das du empfiehlst, ist sehr gut.
L6 | 047 | Kam harruë portofolin në shtëpi me të gjitha paratë. | Ich habe das Portemonnaie mit dem ganzen Geld zu Hause vergessen.
L6 | 048 | A je tu shkue n'pazar me blejtë mish? | Gehst du auf den Markt, um Fleisch zu kaufen?
L6 | 049 | Furgoni që shkon n'Pejë niset prej këtu. | Der Kleinbus, der nach Peja fährt, startet von hier.
L6 | 050 | Këto këpucë që kam provue janë shumë të shtrenjta. | Diese Schuhe, die ich anprobiert habe, sind sehr teuer.
L6 | 051 | A ki para të mjaftueshme për të paguë qiranë? | Hast du genug Geld, um die Miete zu bezahlen?
L6 | 052 | Taksi që na mori në aeroport ishte shumë i shpejtë. | Das Taxi, das uns am Flughafen abholte, war sehr schnell.
L6 | 053 | Sa shumë trafik ka në këtë rrugë! | Wie viel Verkehr ist auf dieser Straße!
L6 | 054 | Kjo aplikacion që shkarkova asht shumë e dobishme. | Diese App, die ich heruntergeladen habe, ist sehr nützlich.
L6 | 055 | A din kah asht farmacia më e afërt? | Weißt du, wo die nächste Apotheke ist?
L6 | 056 | Kam blejtë nji valixhe të re për udhëtim. | Ich habe einen neuen Koffer für die Reise gekauft.
L6 | 057 | Çmimi që ke thânë asht fort i lartë. | Der Preis, den du gesagt hast, ist sehr hoch.
L6 | 058 | Vazhdo drejt për dy kilometra, pastaj kthehu majtas. | Fahr zwei Kilometer geradeaus, dann bieg links ab.
L6 | 059 | A ke provue me blé online ndonjëherë? | Hast du jemals online eingekauft?
L6 | 060 | Ky smartphone që kam blejtë ka bateri të mirë. | Dieses Smartphone, das ich gekauft habe, hat einen guten Akku.
L6 | 061 | Sa kushton me marrë nji veturë me qira për një javë? | Wie viel kostet es, ein Auto für eine Woche zu mieten?
L6 | 062 | Në këtë dyqan shesin rroba që janë në modë. | In diesem Geschäft verkaufen sie Kleidung, die in Mode ist.
L6 | 063 | A ka nji bankomat afër këtu? | Gibt es einen Geldautomaten in der Nähe?
L6 | 064 | Hotel që kam rezervue asht pranë plazhit. | Das Hotel, das ich reserviert habe, ist am Strand.
L6 | 065 | Kam shumë punë, por pak para. | Ich habe viel Arbeit, aber wenig Geld.
L6 | 066 | Furgoni niset kah Gjakova n'ora nëntë. | Der Kleinbus fährt um neun Uhr Richtung Gjakova.
L6 | 067 | A mund të paguaj me kartelë në këtë market? | Kann ich in diesem Supermarkt mit Karte bezahlen?
L6 | 068 | Kjo rrugë që shkon n'stacion asht shumë e ngarkume. | Diese Straße, die zum Bahnhof führt, ist sehr befahren.
L6 | 069 | Sa kushton nji kilogram mish pule? | Wie viel kostet ein Kilo Hühnerfleisch?
L6 | 070 | Telefoni im ka nji kamerë që bën fotografi të bukura. | Mein Telefon hat eine Kamera, die schöne Fotos macht.
L6 | 071 | Du me shkue n'Tiranë me aeroplan javën tjetër. | Ich will nächste Woche mit dem Flugzeug nach Tirana fliegen.
L6 | 072 | A shesin peshk të freskët në këtë treg? | Verkaufen sie frischen Fisch auf diesem Markt?
L6 | 073 | Kam harruë fjalëkalimin për llogarinë time. | Ich habe das Passwort für mein Konto vergessen.
L6 | 074 | Restoranti që asht përballë stacionit asht i mirë. | Das Restaurant, das gegenüber dem Bahnhof ist, ist gut.
L6 | 075 | Sa shumë shitore ka në këtë qendër tregtare! | Wie viele Geschäfte es in diesem Einkaufszentrum gibt!
L6 | 076 | A je tu pritë autobusin që shkon në qytet? | Wartest du auf den Bus, der in die Stadt fährt?
L6 | 077 | Ky çmim asht fort i ulët për këtë produkt. | Dieser Preis ist sehr niedrig für dieses Produkt.
L6 | 078 | Kam blejtë nji biletë online për koncert. | Ich habe ein Ticket online für das Konzert gekauft.
L6 | 079 | Rruga që shkon n'plazh asht shumë e bukur. | Die Straße, die zum Strand führt, ist sehr schön.
L6 | 080 | A din kah asht hyrja për në park? | Weißt du, wo der Eingang zum Park ist?
L6 | 081 | Kam shkarkue nji program që më ndihmon me mësue gjuhë. | Ich habe ein Programm heruntergeladen, das mir beim Sprachenlernen hilft.
L6 | 082 | Sa kushton me dërgu nji parcelë n'Gjermani? | Wie viel kostet es, ein Paket nach Deutschland zu schicken?
L6 | 083 | A shesin bukë të freskët në këtë furrë? | Verkaufen sie frisches Brot in dieser Bäckerei?
L6 | 084 | Kjo veturë që po shof ka ngjyrë të kuqe. | Dieses Auto, das ich sehe, hat eine rote Farbe.
L6 | 085 | Jam tu shkue në stacion me marrë trenin për n'shpi. | Ich gehe zum Bahnhof, um den Zug nach Hause zu nehmen.
L6 | 086 | Kam shumë fotografi në telefon që du me i ruajtë. | Ich habe viele Fotos auf dem Telefon, die ich speichern muss.
L6 | 087 | A pranon kjo furrë pagesë me kartelë? | Akzeptiert diese Bäckerei Kartenzahlung?
L6 | 088 | Stacioni i autobusit që kërkon ti asht aty prapa. | Die Bushaltestelle, die du suchst, ist dort hinten.
L6 | 089 | Sa orë udhëtim asht prej Prishtinës në Shkup? | Wie viele Stunden Fahrt ist es von Pristina nach Skopje?
L6 | 090 | A ke pa çmimet e reja në këtë dyqan? — Janë fort të larta. | Hast du die neuen Preise in diesem Geschäft gesehen? — Sie sind sehr hoch.
L6 | 091 | Kjo faqe interneti që përdori asht shumë e shpejtë. | Diese Website, die ich benutze, ist sehr schnell.
L6 | 092 | A je tu shkue në aeroport me pritë motrën? | Gehst du zum Flughafen, um die Schwester abzuholen?
L6 | 093 | Kam hapë nji llogari bankare për kursim parash. | Ich habe ein Bankkonto zum Geldsparen eröffnet.
L6 | 094 | Rruga më e shkurtër për n'qendër asht këndej. | Der kürzeste Weg ins Zentrum ist hier entlang.
L6 | 095 | Sa shumë para kam shpenzue për teknologji këtë vit! | Wie viel Geld ich dieses Jahr für Technologie ausgegeben habe!
L6 | 096 | A shetin qumësht organik në këtë market? | Verkaufen sie Bio-Milch in diesem Supermarkt?
L6 | 097 | Laptopi që kam blejtë asht më i miri për programim. | Der Laptop, den ich gekauft habe, ist der beste zum Programmieren.
L6 | 098 | Mund të më tregosh kah asht dalja për n'Tiranë? | Kannst du mir zeigen, wo die Ausfahrt nach Tirana ist?
L6 | 099 | Kam blejtë pak fruta dhe shumë perime në treg. | Ich habe wenig Obst und viel Gemüse auf dem Markt gekauft.
L6 | 100 | A ke provue këtë ruter që ka sinjal më të fortë? | Hast du diesen Router ausprobiert, der ein stärkeres Signal hat?
L6 | 101 | Në këtë rrugë që shkon n'shkollë ka shumë makina. | Auf dieser Straße, die zur Schule führt, gibt es viele Autos.
L6 | 102 | Sa kushton me mbushë veturën me benzinë? | Wie viel kostet es, das Auto zu betanken?
L6 | 103 | A ka nji stacion të autobusit që shkon n'Prishtinë? | Gibt es eine Bushaltestelle, die nach Pristina fährt?
L6 | 104 | Kjo kartelë debiti më ndihmon me menaxhu paratë. | Diese Debitkarte hilft mir, das Geld zu verwalten.
L6 | 105 | Jam tu shkue në treg me blejtë pak djathë e shumë ullinj. | Ich gehe zum Markt, um wenig Käse und viele Oliven zu kaufen.
L6 | 106 | A din për nji aplikacion që tregon trafikun në kohë reale? | Weißt du von einer App, die den Verkehr in Echtzeit zeigt?
L6 | 107 | Udhëtimi që kam planifikue për verë asht shumë i gjatë. | Die Reise, die ich für den Sommer geplant habe, ist sehr lang.
L6 | 108 | Sa kushton nji orë dore që ka GPS? | Wie viel kostet eine Armbanduhr, die GPS hat?
L6 | 109 | Këpucët që kam blejtë në zbritje ishin fort lirë. | Die Schuhe, die ich im Angebot gekauft habe, waren sehr billig.
L6 | 110 | A ke shkue ndonjëherë n'Tiranë me autobus? | Bist du jemals mit dem Bus nach Tirana gefahren?
L6 | 111 | Ky telefon që kam blejtë ka një ekran shumë të madh. | Dieses Telefon, das ich gekauft habe, hat einen sehr großen Bildschirm.
L6 | 112 | Kam porositë shumë sende online, por pak kanë ardhë deri tash. | Ich habe viele Sachen online bestellt, aber wenige sind bis jetzt angekommen.
══════════════════════════════════════════════════
LEVEL 7 — FORTGESCHRITTEN I — Abstrakte Konzepte, Bedingungssätze, Modalverben
114 Sätze
══════════════════════════════════════════════════

L7 | 001 | Nëse ki besim n'vetvete, mun me ba çka t'dashish. | Wenn du Vertrauen in dich selbst hast, kannst du machen, was du willst.
L7 | 002 | Gjithmonë duhet me shpresu për më t'mirë. | Man muss immer auf das Beste hoffen.
L7 | 003 | Liria asht nji e drejtë që s'mun t'na merr kush. | Freiheit ist ein Recht, das uns niemand nehmen kann.
L7 | 004 | Nëse don me arrit sukses, duhet me punu fort. | Wenn du Erfolg erzielen willst, musst du hart arbeiten.
L7 | 005 | Drejtësia vjen ngadalë, por gjithmonë vjen. | Gerechtigkeit kommt langsam, aber sie kommt immer.
L7 | 006 | Paqja asht gjaja më e çmueshme për njerëzimin. | Der Frieden ist das Wertvollste für die Menschheit.
L7 | 007 | Nëse s'ki shpresë, s'ki as jetë. | Wenn du keine Hoffnung hast, hast du auch kein Leben.
L7 | 008 | Dëshiroj me t'pa sa më shpejt. | Ich wünsche, dich so schnell wie möglich zu sehen.
L7 | 009 | Besimi n'familje asht gjithçka. | Vertrauen in die Familie ist alles.
L7 | 010 | Nëse vjen nesër, mun mi marrë sendet. | Wenn du morgen kommst, kannst du die Sachen abholen.
L7 | 011 | Shpresa asht ajo që na mban gjallë. | Hoffnung ist das, was uns am Leben hält.
L7 | 012 | Kurrë mos e lsho shpresën, se pa t'keq s'ka t'mirë. | Gib niemals die Hoffnung auf, denn ohne Schlechtes gibt es kein Gutes.
L7 | 013 | Mundesh me ardhë n'çdo kohë që t'vjen përshtat. | Du kannst zu jeder Zeit kommen, die dir passt.
L7 | 014 | Nëse e do lirinë, duhet me luftu për t'. | Wenn du die Freiheit liebst, musst du für sie kämpfen.
L7 | 015 | Fëmijët janë e ardhmja jona. | Die Kinder sind unsere Zukunft.
L7 | 016 | Gjithmonë ki mendjen kah po shkon. | Hab immer im Kopf, wohin du gehst.
L7 | 017 | Nëse don paqe, përgatitu për luftë. | Wenn du Frieden willst, bereite dich auf den Krieg vor.
L7 | 018 | Drejtësia s'asht veç nji fjalë, asht nji veprim. | Gerechtigkeit ist nicht nur ein Wort, sie ist eine Handlung.
L7 | 019 | Kam shpresë se moti do të mirësohet. | Ich habe Hoffnung, dass das Wetter besser wird.
L7 | 020 | Nëse s'flet ngadalë, s'po t'kuptoj. | Wenn du nicht langsam sprichst, verstehe ich dich nicht.
L7 | 021 | Besimi yt te Zoti asht i fortë. | Dein Vertrauen zu Gott ist stark.
L7 | 022 | Duhet me ba më shumë për paqe n'botë. | Man muss mehr für den Frieden in der Welt tun.
L7 | 023 | Nëse vjen shpejt, mun të pres n'stacion. | Wenn du schnell kommst, kann ich dich an der Station erwarten.
L7 | 024 | Liria e fjalës asht nji e drejtë themelore. | Die Meinungsfreiheit ist ein grundlegendes Recht.
L7 | 025 | Sa fort ke punu, more vlla! | Wie hart du gearbeitet hast, Bruder!
L7 | 026 | Nëse do me mujtë, duhet me besu n'vetvete. | Wenn du können willst, musst du an dich selbst glauben.
L7 | 027 | Gjithmonë ka shpresë, edhe kur duket e pamundshme. | Es gibt immer Hoffnung, auch wenn es unmöglich scheint.
L7 | 028 | Dëshiroj me t'pa nesër n'mëngjes. | Ich wünsche, dich morgen früh zu sehen.
L7 | 029 | Nëse ki durim, gjithçka vjen në kohë. | Wenn du Geduld hast, kommt alles zu seiner Zeit.
L7 | 030 | Drejtësia pa liri s'asht gjë. | Gerechtigkeit ohne Freiheit ist nichts.
L7 | 031 | A mundesh me m'ndihmua me këtë punë? | Kannst du mir bei dieser Arbeit helfen?
L7 | 032 | Nëse ma jep besën, unë ta jap timën. | Wenn du mir dein Ehrenwort gibst, gebe ich dir meines.
L7 | 033 | Shpresoj se gjithçka ka me shku mirë. | Ich hoffe, dass alles gut gehen wird.
L7 | 034 | Paqja n'familje asht më e rândësishmja. | Der Frieden in der Familie ist das Wichtigste.
L7 | 035 | Nëse të du, t'du fort, moj zêmër. | Wenn ich dich liebe, liebe ich dich stark, mein Herz.
L7 | 036 | Gjithmonë duhet me ndjek ëndrrat tua. | Man muss immer seinen Träumen folgen.
L7 | 037 | Liria s'vjen falas, duhet me e fitu. | Freiheit kommt nicht umsonst, man muss sie verdienen.
L7 | 038 | Nëse s'bon shpejt, na vonohemi. | Wenn du nicht schnell machst, kommen wir zu spät.
L7 | 039 | Besimi te miqtë asht nji dhuratë e çmueshme. | Vertrauen zu Freunden ist ein wertvolles Geschenk.
L7 | 040 | Kurrë mos thuaj kurrë, se jeta asht e gjatë. | Sag niemals nie, denn das Leben ist lang.
L7 | 041 | Nëse don me ndryshu botën, fillo prej vetes. | Wenn du die Welt verändern willst, fang bei dir selbst an.
L7 | 042 | Duhet me folë t'vërtetën, sado e vështirë të jetë. | Man muss die Wahrheit sagen, so schwer sie auch sei.
L7 | 043 | Shpresa asht ajo që na bën me ecë përpara. | Hoffnung ist das, was uns vorwärts gehen lässt.
L7 | 044 | Nëse ki kurajë, mun me i kalu të gjitha vështirësitë. | Wenn du Mut hast, kannst du alle Schwierigkeiten überwinden.
L7 | 045 | Unë gjithmonë kam besu te njerëzit e mirë. | Ich habe immer an die guten Menschen geglaubt.
L7 | 046 | Paqja fillon n'zemrën e njeriut. | Der Frieden beginnt im Herzen des Menschen.
L7 | 047 | Nëse s'vonon, na mun me hangër bashkë. | Wenn du nicht zu spät kommst, können wir zusammen essen.
L7 | 048 | Dëshiroj me t'pa të lumtun gjithmonë. | Ich wünsche, dich immer glücklich zu sehen.
L7 | 049 | Nëse asht dashtë Zoti, na takohemi prapë. | Wenn Gott will, treffen wir uns wieder.
L7 | 050 | Drejtësia duhet me dalë n'pah gjithmonë. | Gerechtigkeit muss immer ans Licht kommen.
L7 | 051 | Lirinë s'mun me e ble as me pare. | Freiheit kann man nicht einmal mit Geld kaufen.
L7 | 052 | Nëse punon fort, ki sukses n'jetë. | Wenn du hart arbeitest, hast du Erfolg im Leben.
L7 | 053 | Shpresoj se ki me ardhë n'dasëm. | Ich hoffe, du wirst zur Hochzeit kommen.
L7 | 054 | Besimi yt më bënë më të fortë. | Dein Vertrauen macht mich stärker.
L7 | 055 | Nëse don me dalë sonte, më thirr. | Wenn du heute Abend ausgehen willst, ruf mich an.
L7 | 056 | Gjithmonë ki nji plan B, se jeta s'asht e sigurt. | Hab immer einen Plan B, denn das Leben ist nicht sicher.
L7 | 057 | Paqja mondiale asht qëllimi ynë i përbashkët. | Der Weltfrieden ist unser gemeinsames Ziel.
L7 | 058 | Nëse s'ki besim, s'ki as miq. | Wenn du kein Vertrauen hast, hast du auch keine Freunde.
L7 | 059 | Kurrë mos u dorëzo, edhe kur asht më s'vështiri. | Gib niemals auf, auch wenn es am schwierigsten ist.
L7 | 060 | Drejtësia sociale asht e nevojshme për nji shoqëri të shëndoshë. | Soziale Gerechtigkeit ist notwendig für eine gesunde Gesellschaft.
L7 | 061 | Nëse do me m'pa, e di kah jom. | Wenn du mich sehen willst, weißt du, wo ich bin.
L7 | 062 | Kam shpresë se bota ka me ndryshu për mirë. | Ich habe Hoffnung, dass sich die Welt zum Besseren ändern wird.
L7 | 063 | Liria personale asht e shenjtë. | Die persönliche Freiheit ist heilig.
L7 | 064 | Nëse s'pushon, do t'lodhesh fort. | Wenn du dich nicht ausruhst, wirst du sehr müde werden.
L7 | 065 | Besimi n'Zot i jep kuptim jetës. | Der Glaube an Gott gibt dem Leben Sinn.
L7 | 066 | Gjithmonë duhet me ndihmu ata që janë n'nevojë. | Man muss immer denen helfen, die in Not sind.
L7 | 067 | Nëse don paqe, respekto tjetrin. | Wenn du Frieden willst, respektiere den Anderen.
L7 | 068 | Shpejt a vonë, drejtësia ka me dalë n'sipërfaqe. | Früher oder später wird die Gerechtigkeit an die Oberfläche kommen.
L7 | 069 | Dëshiroj me t'falë për gjithçka. | Ich wünsche, dir für alles zu vergeben.
L7 | 070 | Nëse vjen me makinë, mun me ardhë më shpejt. | Wenn du mit dem Auto kommst, kannst du schneller kommen.
L7 | 071 | Shpresën e fundit kurrë mos e humb. | Die letzte Hoffnung verliere niemals.
L7 | 072 | Liria e mendimit asht nji e drejtë e patjetërsueshme. | Die Gedankenfreiheit ist ein unveräußerliches Recht.
L7 | 073 | Nëse ki durim, gjithçka vjen në rregull. | Wenn du Geduld hast, kommt alles in Ordnung.
L7 | 074 | Sa fort t'du, vllai im! | Wie sehr ich dich liebe, mein Bruder!
L7 | 075 | Besimi te vetja asht gjysma e suksesit. | Das Vertrauen in sich selbst ist die Hälfte des Erfolgs.
L7 | 076 | Gjithmonë ka nji shpresë për nji ditë më të mirë. | Es gibt immer eine Hoffnung auf einen besseren Tag.
L7 | 077 | Nëse s'jen mirë, m'thirr. | Wenn es dir nicht gut geht, ruf mich an.
L7 | 078 | Drejtësia s'asht e verbër, por ndonjëherë shtiret. | Gerechtigkeit ist nicht blind, aber manchmal tut sie so.
L7 | 079 | Paqja fillon aty ku mbaron egoizmi. | Frieden beginnt dort, wo der Egoismus endet.
L7 | 080 | Nëse don me mësue gjuhën, duhet me praktikue shumë. | Wenn du die Sprache lernen willst, musst du viel üben.
L7 | 081 | Kam besim se do t'ja dalim. | Ich habe Vertrauen, dass wir es schaffen werden.
L7 | 082 | Shpresoj se nuk asht vonë për me fillue. | Ich hoffe, es ist nicht zu spät, um anzufangen.
L7 | 083 | Nëse asht e mundshme, hajde sa më shpejt. | Wenn es möglich ist, komm so schnell wie möglich.
L7 | 084 | Liria pa përgjegjësi s'asht liri. | Freiheit ohne Verantwortung ist keine Freiheit.
L7 | 085 | Gjithmonë duhet me shpresu për mrekulli. | Man muss immer auf Wunder hoffen.
L7 | 086 | Nëse m'shkon mendja, ai ka ardhë dje. | Wenn ich mich recht erinnere, ist er gestern gekommen.
L7 | 087 | Duhet me folë ngadalë se fëmija po fle. | Du musst leise sprechen, denn das Kind schläft.
L7 | 088 | Besimi ynë si popull asht i pathyeshëm. | Unser Glaube als Volk ist unzerbrechlich.
L7 | 089 | Kurrë mos e harro prej kah je. | Vergiss niemals, woher du kommst.
L7 | 090 | Nëse don me shkue n'Kosovë, duhet me pasë pasaportë. | Wenn du in den Kosovo reisen willst, musst du einen Pass haben.
L7 | 091 | Paqja e zemrës asht më e rëndësishme se pasunia. | Der Frieden des Herzens ist wichtiger als Reichtum.
L7 | 092 | Sa shpejt kalon koha kur je me njerëzit e dashtun! | Wie schnell die Zeit vergeht, wenn man bei den Liebsten ist!
L7 | 093 | Drejtësia kërkon guxim për me u zbatu. | Gerechtigkeit erfordert Mut, um umgesetzt zu werden.
L7 | 094 | Nëse don me pasë sukses, duhet me sakrifikue. | Wenn du Erfolg haben willst, musst du opfern.
L7 | 095 | Shpresa ynë asht te brezi i ri. | Unsere Hoffnung liegt in der jungen Generation.
L7 | 096 | Liria asht si era — s'mun me e pa, por e ndjen. | Freiheit ist wie der Wind — man kann sie nicht sehen, aber man fühlt sie.
L7 | 097 | Nëse je i lodhun, pusho nji çikë. | Wenn du müde bist, ruh dich ein bisschen aus.
L7 | 098 | Duhet me besu më shumë te vetja jote. | Du musst mehr an dich selbst glauben.
L7 | 099 | Gjithmonë ka nji rrugëdalje, s'ka kah me shkue. | Es gibt immer einen Ausweg, es muss einen geben.
L7 | 100 | Nëse don me m'folë, m'thirr n'çdo kohë. | Wenn du mit mir sprechen willst, ruf mich jederzeit an.
L7 | 101 | Paqja n'shpi asht baza e çdo suksesi. | Der Frieden zu Hause ist die Basis jedes Erfolgs.
L7 | 102 | Drejtësia e Zotit vonon, por nuk harron. | Die Gerechtigkeit Gottes kommt spät, aber sie vergisst nicht.
L7 | 103 | Nëse shiu ndalet, dalim për nji shëtitje. | Wenn der Regen aufhört, gehen wir spazieren.
L7 | 104 | Kam besim se edhe këtë vështirësi ka me e kalu. | Ich habe Vertrauen, dass er auch diese Schwierigkeit überwinden wird.
L7 | 105 | Shpresoj se nuk ke harru premtimin tând. | Ich hoffe, du hast dein Versprechen nicht vergessen.
L7 | 106 | Nëse don me jetu n'paqe, jeto n'harmoni me natyrën. | Wenn du in Frieden leben willst, lebe in Harmonie mit der Natur.
L7 | 107 | Liria e besimit asht nji e drejtë e njeriut. | Die Religionsfreiheit ist ein Menschenrecht.
L7 | 108 | Gjithmonë duhet me kujtu se çka asht e rëndësishme n'jetë. | Man muss immer daran denken, was im Leben wichtig ist.
L7 | 109 | Nëse deshton, mos u mërzit — provo prapë. | Wenn du scheiterst, ärgere dich nicht — versuch es wieder.
L7 | 110 | Besimi yt më jep forcë për me vazhdue. | Dein Vertrauen gibt mir Kraft, weiterzumachen.
L7 | 111 | Shpresa asht dielli që ndriçon edhe natën më të errët. | Hoffnung ist die Sonne, die selbst in der dunkelsten Nacht leuchtet.
L7 | 112 | Nëse don me shkue larg, duhet me fillue prej nji hapi. | Wenn du weit gehen willst, musst du mit einem Schritt beginnen.
L7 | 113 | Kurrë mos thuaj s'mun, se ti mun mâ shumë se ç'bon. | Sag niemals, du kannst nicht, denn du kannst mehr, als du tust.
L7 | 114 | Gjithmonë, në çdo situatë, ruaj qetësinë tande. | Bewahre immer, in jeder Situation, deine Ruhe.
══════════════════════════════════════════════════
LEVEL 8 — FORTGESCHRITTEN II — Idiome, Redewendungen, Kultur, Passiv
114 Sätze
══════════════════════════════════════════════════

L8 | 001 | Pasha Zotin, besa e shqiptarit s'shitet e s'bletë! | Ich schwöre bei Gott, die Besa eines Albaners wird nicht verkauft und nicht gekauft!
L8 | 002 | Megjithatë, gjykata ka marrë nji vendim të drejtë. | Trotzdem hat das Gericht eine gerechte Entscheidung getroffen.
L8 | 003 | Amanet, ore, ruju prej atij njeriu! | Pass auf, Alter, hüte dich vor diesem Menschen!
L8 | 004 | Besa ime asht e pathyeshme — pasha nonën! | Mein Ehrenwort ist unzerbrechlich — ich schwöre bei meiner Mutter!
L8 | 005 | Prandaj, kontrata u nënshkrua dje n'zyrën e avokatit. | Deshalb wurde der Vertrag gestern im Büro des Anwalts unterschrieben.
L8 | 006 | Ndërkohë, ndërtimi i shkollës së re ka përfundue. | Inzwischen ist der Bau der neuen Schule abgeschlossen worden.
L8 | 007 | I gjithë fisi u mblodh n'darsmën e vllaut t'madh. | Der ganze Clan versammelte sich auf der Hochzeit des großen Bruders.
L8 | 008 | Pasha Zotin, këtë punë e kam ba me nder e me besë. | Ich schwöre bei Gott, diese Arbeit habe ich mit Ehre und Treue gemacht.
L8 | 009 | Megjithatë, vendimi i gjykatës pritet me u apelue. | Trotzdem wird die Entscheidung des Gerichts voraussichtlich angefochten werden.
L8 | 010 | Kjo shpi i përket familjes sonë prej shekujsh. | Dieses Haus gehört seit Jahrhunderten unserer Familie.
L8 | 011 | Besa e dhânë s'kthehet mrapa — ashtu asht Kanuni. | Ein gegebenes Ehrenwort wird nicht zurückgenommen — so ist der Kanun.
L8 | 012 | Prandaj, pagesa duhet me u krye brenda shtatë ditëve. | Deshalb muss die Zahlung innerhalb von sieben Tagen erfolgen.
L8 | 013 | N'besë të Zotit, unë s'kam pasë kurrë me t'gënjye! | Bei Gottes Treue, ich hatte nie die Absicht, dich zu belügen!
L8 | 014 | Ndërkohë që prindit punojnë, fëmijët janë n'shkollë. | Während die Eltern arbeiten, sind die Kinder in der Schule.
L8 | 015 | Ligji i ri është miratu nga Kuvendi i Kosovës. | Das neue Gesetz wurde von der Kosovo-Versammlung verabschiedet.
L8 | 016 | Amanet, vlla, mos i lsho fëmijët pa mbikëqyrje! | Pass auf, Bruder, lass die Kinder nicht unbeaufsichtigt!
L8 | 017 | Megjithatë, prokurori ka kërkue dënim më të rëndë. | Trotzdem hat der Staatsanwalt eine strengere Strafe gefordert.
L8 | 018 | Me dalë n'shpirt më ke nxjerrë me këtë zhurmë! | Du gehst mir auf die Nerven mit diesem Lärm!
L8 | 019 | Prandaj, patenta e shoferit iu konfiskue për shkak të shpejtësisë. | Deshalb wurde der Führerschein wegen Geschwindigkeitsüberschreitung beschlagnahmt.
L8 | 020 | Besa e shqiptarit si çeliku i veriut asht. | Das Ehrenwort des Albaners ist wie nordischer Stahl.
L8 | 021 | Ndërkohë, palët janë duke u pajtue n'gjykatë. | Inzwischen einigen sich die Parteien vor Gericht.
L8 | 022 | Pasha vetën, këtë sekret s'ma ka nxjerrë kush! | Ich schwöre bei mir selbst, dieses Geheimnis hat mir niemand entlockt!
L8 | 023 | Kjo pronë s'lejohet me u shitë pa pëlqimin e bashkëshortit. | Dieses Eigentum darf nicht ohne Zustimmung des Ehepartners verkauft werden.
L8 | 024 | Megjithatë, ai kurrë s'e prishi besën e dhânë. | Trotzdem hat er sein gegebenes Ehrenwort nie gebrochen.
L8 | 025 | Me ra n'mend më ka ardhë ajo ditë kur u njohëm. | Mir ist jener Tag in den Sinn gekommen, als wir uns kennenlernten.
L8 | 026 | Prandaj, këto dokumenta duhet me u dorëzue n'arkiva. | Deshalb müssen diese Dokumente im Archiv abgegeben werden.
L8 | 027 | Shpija e shqiptarit asht e Zotit — mikpritja asht e shenjtë. | Das Haus des Albaners gehört Gott — die Gastfreundschaft ist heilig.
L8 | 028 | Ndërkohë, hetimi policor vazhdon për këtë rast. | Inzwischen läuft die polizeiliche Ermittlung zu diesem Fall weiter.
L8 | 029 | Dënimi u shqiptue nga gjykata për shkak të vjedhjes. | Die Strafe wurde vom Gericht wegen des Diebstahls verhängt.
L8 | 030 | Amanet, more, këtë amanet ma ke për me e krye! | Ich beschwöre dich, Mädchen, diesen Auftrag musst du für mich erledigen!
L8 | 031 | Pasha Zotin, na kurrë s'jemi nda! | Ich schwöre bei Gott, wir haben uns nie getrennt!
L8 | 032 | Megjithatë, vendimi i gjykatës nuk ishte i drejtë për të gjithë. | Trotzdem war die Entscheidung des Gerichts nicht für alle gerecht.
L8 | 033 | Këto para janë marrë hua nga banka me interes 5%. | Dieses Geld wurde von der Bank zu 5% Zinsen geliehen.
L8 | 034 | Prandaj, mos i jep besën kujt s'duhet. | Deshalb gib dein Ehrenwort nicht, wem du nicht sollst.
L8 | 035 | Ndërkohë, çmimet e shtëpive janë rritë n'tërë qytetin. | Inzwischen sind die Hauspreise in der ganzen Stadt gestiegen.
L8 | 036 | Me marrë n'telefon ma ka thânë se vjen nesër. | Am Telefon hat er mir gesagt, dass er morgen kommt.
